fk_parent,Manual_Level,Auto_Level,Blanks,English,Hanzi,Pinyin,2nd_Pinyin
-1,5,29,{ref:1;type:int;min:2;max:99999}{ref:2;type:food},I have {ref:1} {ref:2}s,我 有 {ref:1} 个 {ref:2},wǒ yǒu {ref:1} gè {ref:2},
-1,5,27,,Is there a television in your home?,你家 有 电视 吗 ？,nǐ jiā yǒu diànshì ma?,
-1,5,17,{ref:1;type:gender;specific:male}{ref:2;type:common_name;fk_ref:1},His name is {ref:2},他 叫 {ref:2},tā jiào {ref:2},
-1,5,17,{ref:1;type:gender;specific:female}{ref:2;type:common_name;fk_ref:1},Her name is {ref:2},她 叫 {ref:2}
-1,5,42,{ref:1;type:place_type},Tonight we are going to the {ref:1}. Are you going?,晚上 我们 去 {ref:1} 。 你 去 吗 ？
-1,5,40,{ref:1;type:surname},His girlfriend's last name is {ref:1}.,他 女朋友 姓 {ref:1} 。,tā nǚ péngyǒu xìng {ref:1}.,
